200,2010,"COPPERLEAF GOLF CLUB COMM ASSO",SEAT,,,"23101 COPPERLEAF BLVD",,,"BONITA SPGS",FL,34135,46,3902027,"COPPERLEAF GOLF CLUB",,"23101 COPPERLEAF BLVD",,,"BONITA SPGS",FL,34135,46,3902027,7,12,SEA4605270,20,20,12/01/2016,04/21/2016,210,"Risk Level 2",
200,2010,"HYATT CORPORATION",SEAT,,,"5001 COCONUT RD",,,"BONITA SPGS",FL,34134,46,4441234,"HYATT REGENCY TANGLEWOOD/MANGR",,"5001 COCONUT RD",,,"BONITA SPGS",FL,34134,46,4441234,7,19,SEA4605272,20,20,12/01/2016,04/25/2016,360,"Risk Level 2",
200,2010,"THREE FISHERMEN SEAFOOD INC",SEAT,,,"5100 S CLEVELAND AVE #313",,,"FORT MYERS",FL,33907,46,9313474,"3 FISHERMEN SEAFOOD",,"5100 S CLEVELAND AVE #313",,,"FORT MYERS",FL,33907,46,9313474,7,13,SEA4605276,20,20,12/01/2016,11/25/2015,86,"Risk Level 2",
200,2010,"PELICAN LANDING GOLF RESORT",SEAT,,,"24301 WALDEN CENTER DRIVE",,,"BONITA SPRINGS",FL,34134,46,239.498.8214,"RAPTOR BAY GOLF CLUB",,"23001 COCONUT PT RESORT DR",,,"BONITA SPGS",FL,34134,46,4987141,7,19,SEA4605293,20,20,12/01/2016,05/06/2016,160,"Risk Level 2",
200,2010,"HYATT CORPORATION",SEAT,,,"5001 COCONUT RD",,,"BONITA SPGS",FL,34134,46,239-444-1234,"HYATT REGENCY RESORT KOFE NUT",,"5001 COCONUT RD",,,"BONITA SPGS",FL,34134,46,239-444-1234,7,19,SEA4605295,20,20,12/01/2016,09/14/2015,40,"Risk Level 1",
200,2010,"HYATT CORPORATION",SEAT,,,"5001 COCONUT RD",,,"BONITA SPGS",FL,34134,46,4441234,"HYATT REGENCY CORKSCREW POOL BAR",,"5001 COCONUT RD",,,"BONITA SPGS",FL,34134,46,4441234,7,19,SEA4605299,20,20,12/01/2016,04/25/2016,68,"Risk Level 2",
200,2010,"PELICAN LOG GOLF RESORT VENTUR",NOST,,,"24301 WALDEN CENTER DRIVE",,,"BONITA SPRINGS",FL,34134,46,239.498.8214,"RAPTOR BAY G C HALFWAY HOUSE",,"23001 COCONUT POINT RS DR",,,"BONITA SPGS",FL,34134,46,3904600,7,19,NOS4605309,20,20,12/01/2016,09/16/2015,0,"Risk Level 1",
200,2010,"INDIGO ROOM INC",SEAT,,"RAIMOND AULEN ","4060 ELLIS RD",,,"FORT MYERS",FL,33905,46,,"INDIGO ROOM (THE)",,"2219 MAIN ST",,,"FORT MYERS",FL,33901,46,(941)332-0014,7,09,SEA4604444,20,20,12/01/2016,04/06/2016,150,"Risk Level 2",
200,2010,"WILROCK LLC",SEAT,,"JASON'S DELI ","PO BOX 61566",,,"FORT MYERS",FL,339061566,46,,"JASON'S DELI",,"13550 REFLECTION PWY#1-101",,,"FORT MYERS",FL,33907,46,5909994,7,13,SEA4605338,20,20,12/01/2016,06/08/2016,196,"Risk Level 1",
200,2010,"FURMAN'S INC",SEAT,,"DIANE VIGNERON ","1663 MOUND ST",,,SARASOTA,FL,34236,46,,"BURGER KING",,"9211 DANIELS PKWY",,,"FORT MYERS",FL,33912,46,(239)768-2582,7,19,SEA4604527,20,20,12/01/2016,10/20/2015,112,"Risk Level 1",
200,2010,"R TEE'S INC",SEAT,,"WESTMINISTER GOLF CLUB","2199 BERKLEY WAY",,,"LEHIGH ACRES",FL,33973,46,,"WESTMINSTER GOLF CLUB",,"2199 BERKLEY WAY",,,"LEHIGH ACRES",FL,33973,46,(941)368-7700,7,17,SEA4604536,20,20,12/01/2016,04/11/2016,100,"Risk Level 2",
200,2010,"CAPTIVA NOOK LLC",SEAT,,"CAPTIVA NOOK LLC DBA KEYLIME B","PO BOX 848",,,CAPTIVA,FL,33924,46,,"KEYLIME BISTRO",,"11509 ANDY ROSSE LN",,,CAPTIVA,FL,33924,46,3954000,7,11,SEA4604590,20,20,12/01/2016,04/26/2016,65,"Risk Level 2",
200,2010,"KINKUN INC",NOST,,,"4125 S CLEVELAND AVE UNIT 1135",,,"FORT MYERS",FL,33901,46,,"BRESLER'S ICE CREAM & YOUGURT",,"4125 S CLEVELAND AVE #91",,,"FORT MYERS",FL,339019000,46,(941)939-7313,7,09,NOS4603705,20,20,12/01/2016,04/25/2016,0,"Risk Level 1",
200,2010,"NESKES NOMIKI",SEAT,,,"12901 MCGREGOR BLVD #3",,,"FORT MYERS",FL,339194587,46,(941)433-5659,"NOMIKI'S PLAKKA",,"12901 MCGREGOR BLVD #3",,,"FORT MYERS",FL,339194587,46,(941)433-5659,7,09,SEA4603765,20,20,12/01/2016,03/21/2016,48,"Risk Level 2",
