200,2010,"K CORP LEE INC",SEAT,,"GYARMATHY ASSOCIATES ","13180 N CLEVELAND AVE STE #111",,,"NORTH FORT MYERS",FL,33903,46,,"KENTUCKY FRIED CHICKEN",,"2210 DEL PRADO BLVD",,,"CAPE CORAL",FL,33990,46,(941)772-2289,7,10,SEA4604445,20,20,12/01/2016,05/24/2016,70,"Risk Level 1",
200,2010,"SHEER PIZZA INC",NOST,,"SHEER PIZZA INC ","4800 BAYLINE DR",,,"N FT MYERS",FL,33917,46,,"DOMINOS PIZZA",,"4800 BAYLINE DR",,,"N FT MYERS",FL,33917,46,(941)995-4404,7,09,NOS4604452,20,20,12/01/2016,02/29/2016,0,"Risk Level 2",
200,2010,"ACTION BUSINESS CORP",SEAT,,,"324 SW 16 ST",,,"BELLE GLADE",FL,33430,60,561.996.6581,"POPEYE'S CHICKEN BISCUITS",,"2710 LEE BLVD",,,"LEHIGH ACRES",FL,33970,46,,7,17,SEA4604455,20,20,12/01/2016,07/01/2016,45,"Risk Level 2",
200,2010,"SOUTHWEST FL ENT INC",SEAT,,"NAPLES FT MYERS KEN CL ","PO BOX 2567",,,"BONITA SPRINGS",FL,339592567,46,,"NFM KENNEL CLUB STAND 25",,"10601 BONITA BEACH RD",,,"BONITA SPGS",FL,34135,46,,7,12,SEA4601252,20,20,12/01/2016,10/16/2015,20,"Risk Level 1",
200,2010,"SHELL FACTORY LC",SEAT,,,"2787 N TAMIAMI TRL",,,"NORTH FORT MYERS",FL,33903,46,,"CAPT'N FISHBONES SEAFOOD GRILL",,"2787 N TAMIAMI TRL",,,"NORTH FORT MYERS",FL,33903,46,9953999,7,08,SEA4604622,20,20,12/01/2016,05/02/2016,151,"Risk Level 2",
200,2010,"S HOMSI INC",SEAT,,"S HOMSI INC ","8971 DANIELS CENTER DR. #310",,,"FORT MYERS",FL,33912,46,2399399020,"MCDONALDS #4122",,"4280 PALM BEACH BLVD",,,"FORT MYERS",FL,339053445,46,(941)694-6511,7,17,SEA4601688,20,20,12/01/2016,06/03/2016,148,"Risk Level 1",
200,2010,"P B &G FOODS INC",SEAT,,"P B & G FOODS INC","13180 N CLEVELAND AVE STE 111",,,"N. FORT MYERS",FL,33903-6230,46,,"KENTUCKY FRIED CHICKEN",,"12250 S CLEVELAND AVE",,,"FORT MYERS",FL,339073810,46,(941)936-1020,7,13,SEA4601748,20,20,12/01/2016,03/18/2016,110,"Risk Level 1",
200,2010,"KENWOOD LANES LTD",SEAT,,,"7050 CRYSTAL DR",,,"FORT MYERS",FL,339077705,46,(941)939-0048,"GATOR LANES",,"7050 CRYSTAL DR",,,"FORT MYERS",FL,339077705,46,(941)939-0048,7,13,SEA4601788,20,20,12/01/2016,02/18/2016,120,"Risk Level 2",
200,2010,"ZORBA'S PIZZA RESTAURANT INC",SEAT,,"ZORBA'S PIZZA RESTAURANT","9106 BONITA BEACH RD",,,"BONITA SPRINGS",FL,34135,46,239-649-4478,"ZORBA'S GREEK RESTAURANT",,"9106 BONITA BCH RD",,,"BONITA SPGS",FL,34135,46,(941)992-5005,7,12,SEA4601794,20,20,12/01/2016,06/20/2016,150,"Risk Level 2",
200,2010,"ISLAND HOUSE LTD PTRSHP",SEAT,,"ISLAND HOUSE LTD PTRSHP","PO BOX 167",,,SANIBEL,FL,33957,46,,"DOC FORD'S SANIBEL",,"975 RABBIT RD",,,SANIBEL,FL,339573037,46,(941)472-8311,7,11,SEA4601837,20,20,12/01/2016,04/13/2016,158,"Risk Level 2",
200,2010,"LANDINGS YACHT GOLF CLUB INC",SEAT,,,"4420 FLAGSHIP DR",,,"FORT MYERS",FL,339198209,46,(941)481-4811,"HELM CLUB (THE)",,"4420 FLAGSHIP DR",,,"FORT MYERS",FL,339198209,46,(941)481-4811,7,09,SEA4601860,20,20,12/01/2016,03/16/2016,619,"Risk Level 2",
200,2010,"COLLINS LEWIS & BARBARA",SEAT,,"LEWIS & BARBARA COLLINS","4250 PERTH CT",,,"NORTH FORT MYERS",FL,33903,46,239.694.5019,"SNACK BAR",,"1501 ORTIZ AVE",,,"FORT MYERS",FL,339054903,46,(941)694-5019,7,17,SEA4601874,20,20,12/01/2016,03/12/2016,88,"Risk Level 2",
