200,2013,"TOWNSEND CATERING COMPANY",CATR,,,"103 STILL OAKS COVE",,,"SANTA ROSA BEACH",FL,32459,76,850.259.3218,"TOWNSEND CATERING COMPANY",,"124 MUSSET BAYOU RD",,,"SANTA ROSA BEACH",FL,32459,76,850-534-0600,6,06,CAT7601841,20,20,06/01/2017,05/05/2016,0,"Risk Level 2",
200,2010,"CHAUDHRY INC",SEAT,,,"310  MAXWELL RD, SUITE 500 ",,,ALPHARETTA,GA,"30009 ",710,,"SUBWAY # 11281",,"549 BECKRICH RD",,,"PANAMA CITY BEACH",FL,32407,13,,6,07,SEA1305112,20,20,06/01/2017,12/11/2015,38,"Risk Level 1",
200,2010,"J T'S PROPERTIES & MORE LLC",SEAT,,,"4806 JACKSON COVE RD",,,TALLAHASSEE,FL,32303,47,,"SHUCKERS OYSTER BAR & SEAFOOD",,"4806 JACKSON COVE RD",,,TALLAHASSEE,FL,32303,47,850.562.0944,6,10,SEA4701775,20,20,06/01/2017,05/13/2016,159,"Risk Level 2",
200,2010,"BEACH BREAKFAST LLC",SEAT,,,"P O BOX 5497",,,DESTIN,FL,32540,56,,"BLACK PEARL",,"1450 MIRACLE STRIP PKWY",,,"FORT WALTON BEACH",FL,32548,56,8506503303,6,14,SEA5603550,20,20,06/01/2017,05/16/2016,253,"Risk Level 2",
200,2010,"AMP PROPERTY MANAGEMENT INC",SEAT,,"Patrick Perno","P O BOX 15037",,,"PANAMA CITY ",FL,32406,13,850-774-6128,"BEEF O' BRADY'S",,"2310 HWY 77 STE 350",,,"LYNN HAVEN",FL,32444,13,850-774-6128,6,09,SEA1305114,20,20,06/01/2017,05/13/2016,117,"Risk Level 2",
200,2010,"ESTY KENNETH SCOTT",SEAT,,,"8067 THOROUGHBRED ROAD",,,PENSACOLA,FL,32526,27,850-380-2280,"FIREHOUSE SUBS",,"120 S NEW WARRINGTON RD",,,PENSACOLA,FL,32507,27,8509949092,6,03,SEA2705833,20,20,06/01/2017,02/16/2016,48,"Risk Level 1",
200,2010,"WASHINGTON MOTEL INVESTMENT INC",SEAT,,,"1110 LOST LAKE RD.",,,CHIPLEY,FL,32428,77,850-415-6538,"DAYS INN",,"1110 LOST LAKE RD.",,,CHIPLEY,FL,32428,77,,6,09,SEA7700242,20,20,06/01/2017,07/14/2015,8,"Risk Level 1",
200,2010,"J & P CONSOLIDATED INC",SEAT,,,"668 W 23 ST",,,"PANAMA CITY",FL,32405,13,,"FIRE HOUSE SUBS",,"2310 HWY 77 STE 170",,,"LYNN HAVEN",FL,32444,13,850-271-3330,6,09,SEA1305118,20,20,06/01/2017,02/11/2016,50,"Risk Level 2",
200,2010,"SPRINGFIELD PIZZA LLC",SEAT,,"HUNGRY HOWIE'S 287","1326 E LUMSDEN RD",,,BRANDON,FL,33511,39,850-785-8400,"HUNGRY HOWIE'S PIZZA & SUBS 287",,"5805 N HIGHWAY 231",,,"PANAMA CITY",FL,32404,13,850-785-8400,6,16,SEA1305119,20,20,06/01/2017,06/30/2016,30,"Risk Level 1",
200,2010,"NAVARRE PIZZA LLC",SEAT,,"HUNGRY HOWIES PIZZA","1326 E LUMSDEN RD",,,BRANDON,FL,33511,67,850-712-0883,"HUNGRY HOWIES #0223",,"8230 NAVARRE PKWY",,,NAVARRE,FL,32566,67,850-712-0883,6,12,SEA6701370,20,20,06/01/2017,07/29/2015,28,"Risk Level 1",
