200,2010,"MYAKKA PNS GLF CLB OF EWOOD INC",SEAT,,"MYAKA PNS GLF CLB OF EWOOD INC","PO BOX 126",,,ENGLEWOOD,FL,342950126,68,,"MYAKKA PINES GOLF CLUB",,"2550 S RIVER RD",,,ENGLEWOOD,FL,34223,68,(941)474-7552,7,07,SEA6801535,20,20,12/01/2016,12/16/2015,149,"Risk Level 2",
200,2010,"MORE VENTURES INC",SEAT,,"MCDONALDS ","PO BOX 9439",,,"LONGBOAT KEY",FL,34228,68,,"MCDONALDS #13787",,"4301 N WASHINGTON BLVD",,,SARASOTA,FL,342344801,68,(941)355-0269,7,18,SEA6803816,20,20,12/01/2016,06/30/2016,54,"Risk Level 1",
200,2010,"C & G FOODSERVICE INC",SEAT,,,"999 CATTLEMEN RD STE-H",,,SARASOTA,FL,34232,68,(941)371-2644,"CATTLEMEN CAFE & GRILL",,"999 CATTLEMEN RD STE-H",,,SARASOTA,FL,34232,68,(941)371-2644,7,05,SEA6803849,20,20,12/01/2016,03/16/2016,42,"Risk Level 2",
200,2010,"MEADOWS COUNTRY CLUB INC",SEAT,,,"3101 LONGMEADOW",,,SARASOTA,FL,34235,68,(941)371-6000,"CENTRE COURT LOUNGE",,"3101 LONGMEADOW",,,SARASOTA,FL,342356905,68,(941)371-6000,7,18,SEA6803856,20,20,12/01/2016,04/26/2016,80,"Risk Level 2",
200,2010,"BRESLIN CYNTHIA",SEAT,,,"5263 OCEAN BLVD UNIT #9",,,SARASOTA,FL,342423319,68,(941)349-9822,"BLASE CAFE",,"5263 OCEAN BLVD UNIT #9",,,SARASOTA,FL,342423319,68,(941)349-9822,7,04,SEA6803879,20,20,12/01/2016,06/30/2016,60,"Risk Level 2",
200,2010,"I'M BACK INC",SEAT,,"ALIK BATSIAN","3527 WEBBER ST",,,SARASOTA,FL,34239,68,,"I'M BACK INC DBA EIGHT BALL LG",,"3527 WEBBER ST",,,SARASOTA,FL,342394930,68,(941)922-8314,7,04,SEA6801162,20,20,12/01/2016,02/10/2016,37,"Risk Level 1",
200,2010,"CORKSCREW INC (THE)",SEAT,,,"4982 S TAMIAMI TRL",,,SARASOTA,FL,34231,68,(941)925-3955,"CORKSCREW (THE)",,"4982 S TAMIAMI TRL",,,SARASOTA,FL,34231,68,(941)925-3955,7,05,SEA6803889,20,20,12/01/2016,10/22/2015,40,"Risk Level 1",
200,2010,"TOMCO OF VENICE INC",SEAT,,,"501 E VENICE AVE",,,VENICE,FL,34285,68,(941)484-6713,"PATCHES RESTAURANT",,"501 E VENICE AVE",,,VENICE,FL,34285,68,(941)484-6713,7,03,SEA6801361,20,20,12/01/2016,04/25/2016,90,"Risk Level 2",
200,2010,"CROW'S NEST REST & TAVERN INC",SEAT,,,"1968 TARPON CENTER DR",,,VENICE,FL,342851035,68,(941)484-9551,"CROWS NEST",,"1968 TARPON CENTER DR",,,VENICE,FL,342851035,68,(941)484-9551,7,03,SEA6801394,20,20,12/01/2016,02/09/2016,175,"Risk Level 2",
200,2010,"MYAKKA RIVER OYSTER BAR INC",SEAT,,,"PO BOX 7936",,,"NORTH PORT",FL,34287,68,9414239616,"MYAKKA RIVER OYSTER BAR",,"121 PLAMORE DR",,,VENICE,FL,342937508,68,(941)423-9616,7,03,SEA6803955,20,20,12/01/2016,04/15/2016,200,"Risk Level 2",
