200,2010,"PEPPIS PIZZERIA INC",SEAT,,,"4111 N TAMIAMI TRL",,,NAPLES,FL,34103,21,6590280,"PEPPIS PIZZERIA",,"4111 N TAMIAMI TRL",,,NAPLES,FL,34103,21,6590280,7,15,SEA2102330,20,20,12/01/2016,06/09/2016,49,"Risk Level 2",
200,2010,"JOEY'S PIZZA INC",SEAT,,,"257 N COLLIER BLVD",,,"MARCO ISLAND",FL,34145,21,3892433,"JOEY'S PIZZA & PASTA HOUSE",,"257 N COLLIER BLVD",,,"MARCO ISLAND",FL,34145,21,239-389-2433,7,16,SEA2102331,20,20,12/01/2016,06/30/2016,152,"Risk Level 2",
200,2010,"CSM LODGING LLC",SEAT,,"CSM LODGING","500 WASHINGTON AVE SOUTH STE 3000",,,MINNEAPOLIS,MN,55415,21,,"RESIDENCE INN BY MARRIOT",,"4075 N TAMIAMI TRL",,,NAPLES,FL,34103,21,239-659-1300,7,15,SEA2102350,20,20,12/01/2016,10/20/2015,49,"Risk Level 2",
200,2010,"YEE KWOCK L & LIA SUE",SEAT,,,"3743 E TAMIAMI TRL",,,NAPLES,FL,34112,21,7753388,"TOKYO SUSHI JAPANESE REST",,"3743 E TAMIAMI TRL",,,NAPLES,FL,34112,21,7753388,7,16,SEA2102408,20,20,12/01/2016,11/06/2015,42,"Risk Level 2",
200,2010,"NAPLES ENTERPRISES INC",SEAT,,,"4805 N TAMIAMI TRL",,,NAPLES,FL,34103,21,6438002,"STAYBRIDGE SUITES HOTEL",,"4805 N TAMIAMI TRL",,,NAPLES,FL,34103,21,6438002,7,15,SEA2102418,20,20,12/01/2016,03/02/2016,40,"Risk Level 1",
200,2010,"DENSON COMPANY LLC",SEAT,,"BALANTE DENNIS C","PO BOX 157",,,GOODLAND,FL,34140,21,,"OLDE MARCO LODGE CRAB HOUSE",,"401 PAPAYA ST",,,GOODLAND,FL,34140,21,6427227,7,16,SEA2102393,20,20,12/01/2016,04/29/2016,340,"Risk Level 2",
200,2010,"NAPLES GOLF & BEACH CLUB INC",SEAT,,,"851 GULFSHORE DR",,,NAPLES,FL,34102,21,2612222,"NAPLES BEACH HOTEL & GOLF CLUB",,"851 GULFSHORE DR",,,NAPLES,FL,34102,21,239-261-2222,7,15,SEA2102450,20,20,12/01/2016,06/21/2016,982,"Risk Level 2",
200,2010,"BAY WINDS LODGING",SEAT,,,"3557 PINE RIDGE RD",,,NAPLES,FL,34109,21,5931300,"HAWTHORN SUITES",,"3557 PINE RIDGE RD",,,NAPLES,FL,34109,21,5931300,7,14,SEA2102473,20,20,12/01/2016,03/22/2016,28,"Risk Level 2",
200,2010,"IL PRIMO PIZZA & WINGS INC",SEAT,,,"15275 COLLIER BLVD #201-115",,,NAPLES,FL,34119,21,239-777-9220,"IL PRIMO PIZZA & WINGS",,"2464 VANDERBILT BEACH RD",,,NAPLES,FL,34109,21,2549800,7,14,SEA2102506,20,20,12/01/2016,05/12/2016,120,"Risk Level 2",
200,2010,"EINSTEIN AND NOAH CORP",SEAT,,,"555 ZANG ST., SUITE 300",,,LAKEWOOD,CO,80228,,303-568-8000,"EINSTEIN BROS BAGEL #1286",,"5311 AIRPORT PULLING RD",,,NAPLES,FL,34109,21,239-513-0330,7,14,SEA2102511,20,20,12/01/2016,03/14/2016,70,"Risk Level 2",
200,2010,"CEDAR HAMMOCK GOLF & CC INC",SEAT,,,"8660 CEDAR HAMMOCK BLVD",,,NAPLES,FL,34112,21,2781177,"CEDAR HAMMOCK GOLF & CC INC",,"8660 CEDAR HAMMOCK BLVD",,,NAPLES,FL,34112,21,2781177,7,16,SEA2102517,20,20,12/01/2016,05/19/2016,348,"Risk Level 2",
200,2010,"BUCA RESTAURANTS INC",SEAT,,"Business Licensing","4700 MILLENIA BLVD, STE. 400",,,ORLANDO,FL,32839,58,4079035637,"BUCA DI BEPPO",,"8860 N TAMIAMI TRL",,,NAPLES,FL,34108,21,5966662,7,12,SEA2102525,20,20,12/01/2016,01/22/2016,262,"Risk Level 2",
200,2010,"BOB EVANS FARMS LLC",SEAT,,"BOB EVANS FARMS INC/TAX DEPT","8111 SMITH MILL ROAD",,,"NEW ALBANY",OH,43054,736,,"BOB EVANS RESTAURANT #392",,"2570 NORTHBROOKE PLAZA DR",,,NAPLES,FL,34119,21,4131522,7,14,SEA2102526,20,20,12/01/2016,04/19/2016,130,"Risk Level 2",
200,2010,"GOLF CLUB OF THE EVERGLADES",SEAT,,,"3785 AIRPORT RD N STE-C",,,NAPLES,FL,34105,21,23-643-4241,"GOLF CLUB OF THE EVERGLADES",,"8835 VANDERBILT BCH RD",,,NAPLES,FL,34120,21,3544727,7,12,SEA2102534,20,20,12/01/2016,06/01/2016,84,"Risk Level 2",
200,2010,"TRI-MANAGEMENT CO",SEAT,,"BURGER KING-TRI MGMT CO ","324 SW 16 ST",,,"BELLE GLADE",FL,33430,21,,"BURGER KING",,"1260 N 15 ST",,,IMMOKALEE,FL,34142,21,9921848,7,17,SEA2102537,20,20,12/01/2016,05/26/2016,80,"Risk Level 1",
200,2010,"NORTH AMERICAN CANOE TOURS INC",SEAT,,,"PO BOX 5038",,,"EVERGLADES CITY",FL,34139,21,6953299,"IVEY HOUSE GHOST ORCHID GRILL",,"107 CAMELLIA ST",,,"EVERGLADES CITY",FL,34139,21,6953299,7,16,SEA2102544,20,20,12/01/2016,05/16/2016,58,"Risk Level 2",
