200,2010,"CHINA ROYAL BUFFET OF LEHIGH ACRES INC",SEAT,,"KUI LIN","3004 LEE BLVD",,,"LEHIGH ACRES",FL,33971,46,239.368.3988,"CHINA ROYAL BUFFET",,"3004 LEE BLVD",,,"LEHIGH ACRES",FL,33971,46,239.368.3988,7,17,SEA4606380,20,20,12/01/2016,06/30/2016,112,"Risk Level 2",
200,2010,"CLABIA INC",SEAT,,,"4131 BONITA BEACH RD",,,"BONITA SPRINGS",FL,34134,21,,"ANTICA TRATTORIA",,"4131 BONITA BEACH RD",,,"BONITA SPRINGS",FL,34134,21,239-949-0060,7,19,SEA2103428,20,20,12/01/2016,06/30/2016,42,"Risk Level 2",
200,2010,"ASIA CAFE COPORATION INC",NOST,,,"1441 TAMIAMI TRL #615",,,"PORT CHARLOTTE",FL,33948,18,850.524.7616,"ASIA CAFE",,"1441 TAMIAMI TRL #615",,,"PORT CHARLOTTE",FL,33948,18,941.764.0978,7,07,NOS1801450,20,20,12/01/2016,03/10/2016,0,"Risk Level 2",
200,2010,"CAJUOL LLC",SEAT,,,"1949 COLONIAL BLVD",,,"FORT MYERS",FL,33907,46,239.895.8751,CAJUOL,,"1949 COLONIAL BLVD",,,"FORT MYERS",FL,33907,46,239.895.8751,7,13,SEA4606915,20,20,12/01/2016,05/09/2016,8,"Risk Level 2",
200,2010,"CHINA 1 PALMETTO CORP",SEAT,,,"613 E 10 ST",,,PALMETTO,FL,34221,51,,"CHINA 1 PALMETTO CORP",,"613 E 10 ST",,,PALMETTO,FL,34221,51,,7,02,SEA5104380,20,20,12/01/2016,02/25/2016,8,"Risk Level 2",
200,2014,"VELLA ESSA LLC",MFDV,,,"1033 SOUTH LOCKWOOD RIDGE RD",,,SARASOTA,FL,34237,68,260-585-9010,"VELLA ESSA",,"1033 SOUTH LOCKWOOD RIDGE RD",,,SARASOTA,FL,34237,68,260-585-9010,7,04,MFD6850303,20,20,12/01/2016,03/05/2016,0,"Risk Level 2",
200,2014,"DAIRY FREE ISLAND DRINKS & FROZEN TREATS",MFDV,,,"9 PALM BLVD",,,"LEHIGH ACRES",FL,33936,46,215-630-3589,"DAIRY FREE ISLAND",,"1431 RAILHEAD BLVD",,,NAPLES,FL,34110,21,215-630-3589,7,12,MFD2150282,45,20,12/01/2015,11/04/2015,0,"Risk Level 1",
200,2014,"COCOA'S DOG HOUSE LLC",MFDV,,"MICHAEL RIZZOLO","1201 20TH AVE W",,,PALMETTO,FL,34221,51,9417042351,"COCOA'S DOG HOUSE",,"1201 20TH AVE W",,,PALMETTO,FL,34221,51,,7,02,MFD5150468,20,20,12/01/2016,06/30/2016,0,"Risk Level 2",
200,2014,"GARCIA JOCABED",MFDV,,"TACOS LA OAXAQUENA","2114 27 AVE W",,,BRADENTON,FL,34205,51,941.518.2389,"TACOS LA OAXAQUENA",,"2114 27 AVE W",,,BRADENTON,FL,34205,51,941.518.2389,7,01,MFD5150464,20,20,12/01/2016,11/20/2015,0,"Risk Level 1",
200,2016,"MEANYS MINI DONUTS",TLIC,,,"201 CANAL RD",,,SARASOTA,FL,34242,68,941-315-1501,"MEANIES MINI DONUTS (VILLAGE EATS)",,"5500 CR 675",,,BRADENTON,FL,34211,51,941-331-1212,7,05,5106105,20,,10/13/2015,,0,,
